baths,beds,city,area,lotSize,price,sqFt,stories,yearBuilt,zipcode
2,3,Gulfport,Allendale,9147,365000,1760,1,2019,39501
1.5,3,Gulfport,Anniston Estates,,110000,1352,1,1962,39507
2,3,Gulfport,Metes And Bounds,,104950,2366,1,1940,39507
2,3,Gulfport,Gregory Part II,,166000,1697,1,1967,39503
2,3,Gulfport,Windsong,,124900,1233,2,2005,39503
2,2,Gulfport,Broadmoor Place,,100000,1248,,1948,39501
1,3,Gulfport,Metes And Bounds,,117500,1052,1,1993,39507
3,4,Gulfport,Lake Vill. Estates,10018,280000,2800,1,2001,39503
2,4,Gulfport,Stetson Place,,187500,1670,,2004,39503
2,2,Gulfport,Metes And Bounds,,99900,1242,1,1994,39503
1,2,Gulfport,Metes And Bounds,,74900,700,1,1945,39501
1,3,Gulfport,Metes And Bounds,,199900,1020,1,1959,39501
2,3,Gulfport,Wildwood,,110000,1057,,1983,39503
2,3,Gulfport,Northwood Hills,,164900,1363,1,1995,39503
1,3,Gulfport,Bel-Aire,10890,80000,1036,1,1968,39503
2,3,Gulfport,Legacy Villas,,219000,1691,1,2001,39507
2,3,Gulfport,Forest Heights,,69000,1365,,1970,39501
1,2,Gulfport,Arlington Heights,,58000,968,1,1935,39501
1,2,Gulfport,Bayou View,,63000,779,1,1956,39507
2,2,Gulfport,Forest North,,95000,1045,1,1997,39503
2,2,Gulfport,Forest North,,79999,1052,1,1998,39503
1,2,Gulfport,Spring Valley,,35000,1000,,1965,39503
2,2,Gulfport,Spring Valley,,107000,1124,1,1987,39503
2,3,Gulfport,Windance West,,179000,1656,1,2013,39503
2,3,Gulfport,Windance,,199900,1629,1,2014,39503
2,4,Gulfport,Windance West,,198000,1870,,2014,39503
2,3,Gulfport,Fairfield,,106300,1063,,1991,39503
1,3,Gulfport,Metes And Bounds,69696,100000,1344,1,1900,39501
1,3,Gulfport,Metes And Bounds,11325,89500,1176,1,1924,39501
3,4,Gulfport,Belvedere Place,6969,230000,2424,2,2015,39503
3,5,Gulfport,Chapelwood,,318900,3113,,2020,39503
2,3,Gulfport,Canal Crossing,,217050,1717,1,2020,39503
1,2,Gulfport,Tung Grove,130680,70000,912,1,1991,39503
2,4,Gulfport,Gulf Haven,56628,262500,2120,1,2007,39503
2.5,3,Gulfport,Dawnland PH1,52272,255000,2315,2,1996,39503
2,3,Gulfport,Metes And Bounds,122839,197370,2193,2,1980,39503
2,3,Gulfport,Canal Crossing,,189900,1679,1,2009,39503
2,3,Gulfport,Owen Place,7840,130500,1277,1,2010,39503
3,4,Gulfport,Metes And Bounds,34848,239900,2564,2,1998,39503
2,3,Gulfport,Westwood Hills,,142000,1460,1,1994,39503
2,3,Gulfport,Meadowbrook,9975,165000,1616,,2010,39503
2,3,Gulfport,Meadowbrook,,229900,2012,1,2011,39503
2,3,Gulfport,Meadowbrook,7405,152200,1301,,2010,39503
2,3,Gulfport,Meadowbrook,,179900,1529,1,2013,39503
