baths,beds,city,area,lotSize,price,sqFt,stories,yearBuilt,zipcode
2,3,Southaven,Plum Point Villages,435,146000,1402,1,1998,38671
2,3,Southaven,DeSoto,,230000,,1,1993,38671
2,2,Southaven,DeSoto,,123000,,1,2003,38671
2,2,Southaven,Stone Creek,5662,195900,1296,1,1997,38671
2,4,Southaven,Trinity Lakes,,239900,2200,2,2001,38672
2,2,Southaven,Ross Pointe Farms,,147900,1318,1,2003,38671
2.5,4,Southaven,Trinity Lakes,7840,309999,1956,2,2002,38672
4,2,Southaven,Ross Pointe Farms,1747627200,197000,1272,1,2005,38671
2,2,Southaven,Ross Pointe Farms,4791,179900,1128,1,2001,38671
2,2,Southaven,Stone Creek,3484,179900,1227,1,1998,38671
2,2,Southaven,Ross Pointe Farms,,198000,1304,1,2002,38671
2,3,Southaven,Plum Point Villages,16117,265000,1592,1.5,1988,38671
4.5,4,Southaven,DeSoto,,675000,,2,2001,38672
2,2,Southaven,Ross Pointe Farms,435,190000,1288,1,2001,38671
2,3,Southaven,Highland Grove,10890,239900,1623,1,2007,38671
2,3,Southaven,Plum Point Villages,,162000,1547,1,1992,38671
2,2,Southaven,Tipton Pollard Pub,8712,219900,1301,1,2006,38671
5,5,Southaven,Ole Meadow,78408,969999,5054,2,2006,38672
3.5,5,Southaven,Ole Meadow,53143,499800,4150,2,2007,38672
5,4,Southaven,Minor,1219680,2600000,6510,2,2003,38672
2,4,Southaven,Highland Grove,7405,274900,1811,2,2006,38671
2,3,Southaven,Stone Creek,4356,149900,1223,1,1999,38671
2,2,Southaven,Stone Creek,4791,155000,1134,1,1998,38671
2,3,Southaven,Plum Point Villages,,147500,1346,1,1998,38671
2,3,Southaven,Stone Creek,4791,169900,1200,1,1996,38671
2,2,Southaven,Stone Creek,4791,135000,935,1,1996,38671
2,2,Southaven,Stone Creek,,140000,1240,1,1997,38671
2,3,Southaven,Stone Creek,,148300,1360,1,1998,38671
2,3,Southaven,Plum Point Villages,10890,264900,1571,1,1993,38671
2,3,Southaven,Plum Point Villages,11761,250000,1579,1,1993,38671
2,3,Southaven,Plum Point Villages,19166,230000,1560,1,1990,38671
3,4,Southaven,DeSoto,,288000,,2,1987,38671
3,3,Southaven,Plum Point Villages,,274900,2006,1.5,1992,38671
3.5,5,Southaven,Castle Ridge,,505000,3481,2,2020,38671
3.5,4,Southaven,Castle Ridge,13068,459000,3300,2,2013,38671
2,2,Southaven,Stone Creek,3920,186000,1214,1,1998,38671
2,2,Southaven,Ross Pointe Farms,10018,170000,1114,1,1998,38671
2,3,Southaven,Tipton Pollard Pub,8712,209900,1482,1,2006,38671
3,3,Southaven,Ross Pointe Farms,,159900,1514,1,2005,38671
2,2,Southaven,Tipton Pollard Pub,6098,197000,1246,1,2000,38671
2,2,Southaven,Ross Pointe Farms,6534,165000,1297,1,2005,38671
2,2,Southaven,Ross Pointe Farms,5227,155000,1144,1.5,2005,38671
2,2,Southaven,Ross Pointe Farms,,119900,1100,1,2003,38671
2.5,3,Southaven,Ross Pointe Farms,4791,240000,1876,2,2003,38671
2,3,Southaven,Ross Pointe Farms,,109000,1494,2,2003,38671
2,4,Southaven,Ross Pointe Farms,4800,220000,1600,2,2005,38671
2.5,3,Southaven,DeSoto,,190000,,2,2003,38671
2,2,Southaven,Ross Pointe Farms,7405,203000,1172,1,2003,38671
2,3,Southaven,Ross Pointe Farms,4791,240000,1443,2,2003,38671
2,3,Southaven,Ross Pointe Farms,5227,150000,1474,1,2006,38671
2,2,Southaven,Tipton Pollard Pub,5227,185000,1150,1,2001,38671
2,4,Southaven,Highland Grove,,279900,1809,1.5,2008,38671
2,3,Southaven,Stone Creek,8712,125000,1284,1,1997,38671
2,3,Southaven,Plum Point Villages,13068,269900,1538,1,1993,38671
2,3,Southaven,Plum Point Villages,13068,260000,1760,1,1990,38671
2,3,Southaven,Plum Point Villages,11761,305900,1765,1,1988,38671
2.5,3,Southaven,Plum Point Villages,12196,199900,2010,2,1988,38671
4,3,Southaven,Greenway Minor,87120,345000,3533,2,2005,38671
3,4,Southaven,Dustin Place,65340,335000,2938,1.5,1993,38671
2,4,Southaven,Lauderdale Estates,20900,415000,2950,2,2015,38672
2,3,Southaven,Lauderdale Estates,23522,268000,2150,1,2011,38672
3,5,Southaven,Lauderdale Estates,18730,400000,2723,2,2017,38672
3,4,Southaven,Lauderdale Estates,2178,304900,3062,2,2007,38672
3.5,5,Southaven,Castle Ridge,22215,499000,3622,2,2016,38671
2,4,Southaven,Ross Pointe Farms,,159900,1595,,2005,38671
2,2,Southaven,Tipton Pollard Pub,5227,204900,1079,1,2001,38671
2,2,Southaven,Ross Pointe Farms,4791,200000,1119,1,2001,38671
3,4,Southaven,Trinity Lakes,2178,299900,2100,2,2005,38672
2,3,Southaven,Tipton Pollard Pub,4791,215000,1440,1,2006,38671
2,4,Southaven,Trinity Lakes,12196,304000,2160,1.5,2002,38672
2,3,Southaven,Trinity Lakes,8712,255000,1566,1,2002,38672
3,5,Southaven,Trinity Lakes,,259900,2821,2,2002,38672
2,3,Southaven,Tipton,4791,180000,1433,1,2004,38671
2,2,Southaven,Ross Pointe Farms,4791,189900,1260,1,2003,38671
2,2,Southaven,Ross Pointe Farms,,119900,1100,1,2005,38671
2,2,Southaven,Tipton Pollard Pub,10890,220000,1388,2,2003,38671
2,2,Southaven,Ross Pointe Farms,,140000,1121,1,2003,38671
2,3,Southaven,Plum Point Villages,13068,194900,1800,1,1992,38671
2,3,Southaven,Plum Point,2178,175000,1700,1,1988,38672
2,3,Southaven,Plum Point Villages,,179900,1524,1,1991,38671
2,4,Southaven,Plum Point Villages,,300000,1966,1,1992,38671
2,3,Southaven,Plum Point Villages,1306,177500,1782,1,1989,38671
2,4,Southaven,Lauderdale Estates,,405000,2850,2,2019,38672
2,3,Southaven,Stone Creek,,210000,1328,1,1998,38671
2,3,Southaven,Stone Creek,,135000,1322,1,2005,38671
2,2,Southaven,Stone Creek,,128500,1274,1,1998,38671
2,2,Southaven,Stone Creek,,194900,1197,1,1997,38671
2,2,Southaven,Stone Creek,4356,149900,1296,1,1997,38671
3.5,4,Southaven,Dustin Place,67082,569900,4004,2,1994,38671
3,5,Southaven,Castle Ridge,,389900,3192,,2020,38671
3,4,Southaven,Castle Ridge,26136,485573,3083,2,2018,38671
2,3,Southaven,Plum Point,,132500,1368,1,1998,38671
2,3,Southaven,Stone Creek,3446902800,180000,1353,1,2001,38671
2,3,Southaven,Trinity Lakes,,194900,1711,1,2002,38672
2,2,Southaven,Ross Pointe Farms,4791,185000,1116,1,2003,38671
2,2,Southaven,Ross Pointe Farms,5227,187500,1250,1,2006,38671
2,3,Southaven,Tipton Pollard Pub,4791,175000,1233,1,2006,38671
2,3,Southaven,Ross Pointe Farms,,159000,1330,2,2003,38671
2,3,Southaven,Tipton Pollard Pub,4791,250000,1480,2,2003,38671
2,2,Southaven,Ross Pointe Farms,5227,185000,1313,1,2002,38671
2,2,Southaven,Ross Pointe Farms,,125000,1258,1,2000,38671
2,2,Southaven,Ross Pointe Farms,,165000,1259,1,1251,38671
2,2,Southaven,DeSoto,,154250,,1,2001,38671
2,2,Southaven,Ross Pointe Farms,4791,210000,1315,1,2000,38671
2,4,Southaven,Trinity Lakes,19602,299900,2100,1.5,2001,38672
4.5,5,Southaven,St Claire Park,30056,750000,5363,2,2016,38671
2,3,Southaven,Plum Point Villages,13939,274500,1800,1,1993,38671
2,3,Southaven,Plum Point,12632,249900,1778,1,1994,38671
2,3,Southaven,Plum Point Villages,11325,200000,1439,1,1993,38671
4.5,5,Southaven,Cardiff Gardens,27442,625000,5507,2,2007,38671
2,4,Southaven,Lauderdale Estates,21780,365000,2626,2,2008,38672
3.5,4,Southaven,Lauderdale Estates,25264,339900,3258,2,2018,38672
2.5,4,Southaven,Lauderdale Estates,25700,300000,2261,2,2013,38672
4.5,5,Southaven,Lauderdale Estates,20037,382900,3739,2,2014,38672
2,4,Southaven,Highland Grove,7840,255000,1800,2,2007,38671
2,3,Southaven,Stone Creek,10890,149900,1689,1,1998,38671
2,3,Southaven,Stone Creek,,185000,1394,1,1997,38671
2,2,Southaven,Stone Creek,5662,175900,1174,1,1999,38671
2,3,Southaven,DeSoto,,170000,,1,1998,38671
2,3,Southaven,Stone Creek,5662,169900,1221,1,1996,38671
2,3,Southaven,Plum Point,11761,274900,1744,1,1992,38671
2,3,Southaven,Plum Point Villages,13939,269900,1677,1,1992,38671
2,3,Southaven,Plum Point Villages,17859,257000,1623,1,1992,38671
2,3,Southaven,Plum Point Villages,15681,225000,1516,1,1993,38671
2,3,Southaven,Plum Point,,210000,1555,1,1991,38671
3.5,4,Southaven,Dixie Lynn,65340,274900,2900,2,2002,38671
3,4,Southaven,DeSoto,,440000,,2,2017,38671
3,4,Southaven,Castle Ridge,24829,420000,3179,2,2018,38672
2,2,Southaven,Stone Creek,43560,127500,1198,1,1998,38671
2,2,Southaven,Stone Creek,1965862800,179900,1174,1,1998,38671
2,3,Southaven,Ross Pointe Farms,,158900,1432,2,2006,38671
2,2,Southaven,Ross Pointe Farms,4791,184000,1116,1,2003,38671
2,2,Southaven,Ross Pointe Farms,4791,190000,1100,1,2003,38671
2,3,Southaven,Ross Pointe Farms,1834747200,189900,1433,1,2005,38671
2,4,Southaven,Ross Pointe Farms,,169900,1584,2,2006,38671
2,4,Southaven,Ross Pointe Farms,6534,224900,1600,2,2006,38671
2,2,Southaven,Ross Pointe Farms,4356,214900,1346,1,2006,38671
2,2,Southaven,Ross Pointe Farms,4791,110000,1110,1,2002,38671
2,2,Southaven,Ross Pointe Farms,4791,173000,1173,1,2002,38671
2,2,Southaven,Ross Pointe Farms,8276,184900,1007,1,2002,38671
2,3,Southaven,Ross Pointe Farms,4791,206500,1233,1,2003,38671
2,3,Southaven,Ross Pointe Farms,4791,210000,1461,2,2003,38671
2,3,Southaven,Ross Pointe Farms,6098,229900,1379,1,2002,38671
2,3,Southaven,Ross Pointe Farms,,129900,1133,1,2002,38671
2,2,Southaven,Ross Pointe Farms,1747627200,150000,1098,1,2001,38671
2,2,Southaven,Ross Pointe Farms,4791,179900,1262,1,2001,38671
2,2,Southaven,Ross Pointe Farms,,140000,1288,1,2000,38671
2,3,Southaven,Stone Creek,4791,199000,1175,1,1997,38671
2,3,Southaven,Plum Point Villages,,183000,1726,,1988,38671
2,3,Southaven,Ross Pointe Farms,4791,192500,1236,1,2003,38671
2,3,Southaven,Tipton,,139900,1485,2,,38671
2,2,Southaven,Ross Pointe Farms,,125000,1108,1,2004,38671
2,2,Southaven,Ross Pointe Farms,4356,140000,1288,1,2001,38671
2.5,4,Southaven,Trinity Lakes,3100600800,269900,2549,2,2002,38672
3.5,5,Southaven,Gray Estates,30491,510000,2974,2,2016,38671
2,4,Southaven,Lauderdale Estates,18730,425000,2850,2,2022,38672
3,5,Southaven,Lakes Of Nicholas,22215,485000,2902,2,2023,38672
3,4,Southaven,Lakes Of Nicholas,31363,439900,2525,1.5,2023,38672
3,5,Southaven,Lakes Of Nicholas,31363,513000,2922,2,2023,38672
3,4,Southaven,Lakes Of Nicholas,21344,465000,2700,2,2023,38671
3,5,Southaven,Lakes Of Nicholas,27442,517000,2954,2,2024,38672
,3,Southaven,,4950,93601,1588,1,1998,38671
,3,Southaven,,7500,188000,1507,1,2004,38672
2,3,Southaven,Ross Pointe Farms,,157900,1475,1,2005,38671
,,Southaven,Metes And Bounds,130680,75000,,,,38671
2,3,Southaven,Carriage Hills,3490462800,210000,1549,1,1971,38671
2,3,Southaven,Carriage Hills,10454,199900,1592,1,1969,38671
2,3,Southaven,Carriage Hills,13503,219900,1675,1,1971,38671
1.5,3,Southaven,Carriage Hills,,137500,1290,1,1969,38671
2,4,Southaven,Carriage Hills,10890,230000,2044,2,1982,38671
3,5,Southaven,Carriage Hills,16552,315000,3300,2,1969,38671
1.5,3,Southaven,Carriage Hills,16988,169900,1310,1,1971,38671
2,4,Southaven,DeSoto,15681,235000,,1,1971,38671
2,3,Southaven,Carriage Hills,13068,185000,2016,1,1971,38671
2,4,Southaven,Carriage Hills,,249900,2063,1,1971,38671
2,3,Southaven,Carriage Hills,10018,217500,1615,1,1969,38671
2,3,Southaven,Carriage Hills,8712,224900,1700,1,1969,38671
2,3,Southaven,Carriage Hills,,239999,1986,1,1971,38671
2,4,Southaven,Carriage Hills,,259900,2085,1,1971,38671
2,3,Southaven,Carriage Hills,10890,224900,2050,1,1971,38671
2,3,Southaven,Carriage Hills,10454,229900,1847,1,1971,38671
2,4,Southaven,Deerchase,7405,264900,1900,2,2007,38672
4.5,5,Southaven,Belle Pointe,40075,475000,4200,2,2004,38672
2,4,Southaven,Deerchase,8276,299900,1728,1.5,2007,38672
3,5,Olive Branch,South Manor Estates,69260,367000,3081,2,1994,38654
3,5,Southaven,Deerchase,7840,354900,2910,2,2007,38672
2,4,Southaven,Other Mississippi Counties,,315000,,2,2002,38672
2,3,Southaven,Deerchase,7840,264999,2177,2,2001,38672
2,3,Southaven,Deerchase,9583,280000,2100,1.5,2001,38672
3,5,Southaven,Deerchase,9147,349000,2590,2,2002,38672
3,5,Southaven,Snowden Grove,29620,469900,4271,2,2020,38672
2,2,Southaven,Snowden Grove,5227,274900,1581,1,2015,38672
3,5,Southaven,Deerchase,10018,359950,2752,2,2007,38672
2,4,Southaven,Snowden Grove,10890,299900,1959,2,2008,38672
3,5,Southaven,DeSoto,34412,385000,,2,2005,38671
4,4,Southaven,Belle Pointe,30056,435000,3029,2,1999,38672
2,3,Southaven,Deerchase,13939,294900,1944,1,2002,38672
2.5,4,Southaven,Belle Pointe,30056,445000,2610,1.5,2003,38672
3,4,Southaven,Snowden Grove,12196,379000,2336,1.5,2016,38672
2,3,Southaven,Snowden Grove,15681,378000,2482,1,2014,38672
2,4,Southaven,Deerchase,7405,299900,1704,2,2007,38672
4.5,5,Southaven,DeSoto,32670,565000,3960,2,1999,38672
2,4,Southaven,Deerchase,7405,287000,1860,1.5,2007,38672
3,4,Southaven,Deerchase,,314000,2314,1.5,2001,38672
2,3,Southaven,DeSoto,,240000,,2,2014,38672
2.5,3,Olive Branch,Summerwood,77972,315000,2231,2,1984,38654
3,6,Southaven,Summit Park,21780,325000,2410,2,2005,38672
2,3,Olive Branch,Summerwood,66211,395000,2600,1,1987,38654
3.5,4,Olive Branch,DeSoto,,365000,,1,1986,38654
2,4,Olive Branch,DeSoto,,374900,,2,1978,38654
4,5,Olive Branch,Summerwood,66211,299500,3298,2,1987,38654
3,4,Southaven,Rutland Pointe,,239000,2396,2,2005,38672
2,4,Southaven,Rutland Pointe,24393,255000,1950,2,2005,38672
3.5,4,Olive Branch,Summerwood,65775,399900,3087,2,1985,38654
3,4,Olive Branch,Summerwood,70131,399800,2749,2,1984,38654
2.5,3,Olive Branch,Summerwood,66646,325000,2950,2,1989,38654
3.5,4,Olive Branch,Summerwood,65775,284900,2949,1,1987,38654
2,3,Southaven,Rutland Pointe,12196,285000,1900,1,2005,38672
3,5,Southaven,Rutland Pointe,21780,299900,2281,2,2005,38672
2,3,Southaven,Summit Park,,229900,1964,2,2005,38671
2,3,Olive Branch,Summerwood,74923,270000,1800,1,1985,38654
3,4,Southaven,Summit Park,39204,312000,2626,2,2006,38672
2,3,Southaven,Summit Park,,279900,2111,1.5,2006,38672
2,3,Southaven,Rutland Pointe,,185000,1710,,2006,38672
3,4,Southaven,Summit Park,20037,274900,1725,1.5,2005,38672
3,3,Olive Branch,Summerwood,65340,390000,4007,1,1988,38654
3,5,Olive Branch,Summerwood,68389,359900,2930,2,1984,38654
2.5,3,Olive Branch,Summerwood,67082,300000,1840,1,1984,38654
4.5,4,Olive Branch,Summerwood,69260,420000,3100,2,1984,38654
2,3,Olive Branch,DeSoto,82764,183500,,1,1985,38654-9999
3,3,Southaven,Pinewood,23522,269900,1954,2,2021,38672
2,3,Southaven,Pinewood,10018,249900,1833,1,2021,38672
2,3,Southaven,Pinewood,9147,256900,1871,1,2021,38671
2,3,Southaven,Southaven,,254900,1882,,2021,38672
2,3,Southaven,Southaven,10890,249900,1822,1,2021,38672
2.5,3,Southaven,Pinewood,9147,256900,1873,2,2021,38672
2.5,3,Southaven,Pinewood,9147,260900,1882,1,2022,38672
2.5,3,Southaven,Pinewood,,258900,1884,2,2020,38672
2,3,Southaven,Pinewood,10018,249900,1833,1,2022,38672
3,3,Southaven,Southaven,,264900,1954,,2021,38672
2,3,Southaven,Pinewood,9583,249900,1822,,2021,38672
2,3,Southaven,Pinewood,13503,247900,1833,1,2021,38672
2,3,Southaven,Southaven,,248900,1833,1,2021,38672
3,3,Southaven,Pinewood,10018,264900,1954,2,2021,38672
3,3,Southaven,Pinewood,10890,264900,1954,2,2021,38672
3,3,Southaven,Pinewood,10018,264900,1954,2,2021,38672
2,3,Southaven,Southaven,,249900,1822,1,2021,38672
2.5,3,Southaven,Pinewood,9147,272900,1882,,2021,38672
2,3,Southaven,Southaven,,246900,1822,1,2021,38672
2.5,3,Southaven,Pinewood,10018,258900,1882,,2021,38672
2.5,3,Southaven,Pinewood,9147,258900,1882,,2021,38672
2,3,Southaven,Southaven,,258900,1882,,2021,38672
2.5,3,Southaven,Pinewood,16117,254900,1882,,2021,38672
3,3,Southaven,Pinewood,12196,264900,1954,2,2022,38672
2.5,3,Southaven,Pinewood,10890,258900,1822,1.5,2022,38672
2,3,Southaven,Pinewood,9147,316900,1949,1,2022,38672
2,3,Southaven,Pinewood,14810,295000,1833,2,2022,38672
2,3,Southaven,Pinewood,10890,272900,1882,1,2022,38672
2,3,Southaven,Pinewood,13939,264900,1822,,2022,38672
2,3,Southaven,Southaven,,271900,1871,,2021,38672
2,3,Southaven,Pinewood,10018,271900,1871,,2022,38672
2,3,Southaven,Pinewood,10890,264900,1822,1,2022,38672
2,3,Southaven,Pinewood,10018,286900,1979,1,2022,38672
3,3,Southaven,Southaven,,283900,1954,,2021,38672
2,3,Southaven,Southaven,21344,94000,1568,1,1988,38671
,,Southaven,,11200,20000,720,,1976,38671
,,Southaven,,12800,20000,,,,38671
,,Southaven,,12427,18000,924,,1985,38671
,,Southaven,,14083,18000,672,,1974,38671
2,3,Southaven,Greenbrook,7405,210000,1450,1,1986,38671
2,3,Southaven,Greenbrook,14374,230000,1728,1,1983,38671
2,3,Southaven,Central Park Neighborhood,7405,190000,1250,1,2000,38671
2,3,Southaven,Greenbrook,3490462800,190000,1415,1,1985,38671
2,3,Southaven,Greenbrook,16117,214900,1425,1,1978,38671
2,3,Southaven,Autumn Woods,,160000,1180,1,1991,38671
2,3,Southaven,Greenbrook,12196,219900,1448,1,1986,38671
2,3,Southaven,Greenbrook,6969,184900,1175,1,1980,38671
1.5,3,Southaven,Greenbrook,8276,193900,1271,1,2000,38671
1.5,2,Southaven,Creekwood,1742,160000,1200,2,1990,38671
1.5,2,Southaven,Creekwood,,130000,1135,2,1990,38671
1.5,2,Southaven,Creekwood,1742,180000,1273,1.5,1990,38671
2,3,Southaven,Greenbrook,12632,214900,1315,1,1979,38671
3,4,Southaven,Greenbrook,12196,289900,2010,2,1985,38671
2,3,Southaven,Stonehedge Place,19602,269000,1885,2,1998,38671
2.5,4,Southaven,Creekwood Estates,,160000,1433,2,1993,38671
2.5,4,Southaven,Creekwood West,,185000,1550,2,1993,38671
2,3,Southaven,Greenbrook,16988,190000,1522,1,1991,38671
2.5,4,Southaven,Greenbrook,13503,239900,2531,2,1980,38671
2,4,Southaven,Greenbrook,,225000,2214,2,1981,38671
2.5,4,Southaven,Creekwood West,,180000,1525,2,1993,38671
2,4,Southaven,DeSoto,,221000,,2,1977,38671
2,2,Southaven,Creekwood West,43560,160000,1088,1,1993,38671
2,3,Southaven,Greenbrook,1708902360,240000,1416,1,1986,38671
2,3,Southaven,Greenbrook,21780,205000,1410,1,1986,38671
2,3,Southaven,Greenbrook,16552,215000,1270,1,1986,38671
2,3,Southaven,Autumn Woods,9583,224550,1320,1,1990,38671
2,3,Southaven,Brentwood Farms,9147,244900,1571,1,1998,38671
2,3,Southaven,DeSoto,10454,210000,,1,1977,38671
2,3,Southaven,Greenbrook,10454,215000,1265,1,1985,38671
1,3,Southaven,Greenbrook,14810,175000,1327,1,1977,38671
2.5,4,Southaven,Greenbrook,12196,284900,2475,2,1984,38671
2,4,Southaven,Greenbrook,10454,255500,1744,1,1978,38671
2,3,Southaven,Greenbrook,11325,220000,1490,1,1989,38671
2,3,Southaven,Greenbrook,19602,230000,1656,1,1978,38671
2,3,Southaven,Central Park Neighborhood,9583,215000,1340,1,2001,38671
2,3,Southaven,Central Park,8276,185000,1400,1,2001,38671
2,3,Southaven,Stonehedge Place,10890,219900,1350,2,1997,38671
2,3,Southaven,Autumn Woods,8712,199900,1134,1,1991,38671
2,3,Southaven,Autumn Woods,13503,199900,1107,1,1988,38671
2,3,Southaven,Stonehedge Place,9583,239900,1554,1,1999,38671
3,3,Southaven,Greenbrook,9147,239900,1800,1,1979,38671
2,3,Southaven,Greenbrook,10454,225000,1319,1,1979,38671
2,3,Southaven,Greenbrook,10890,239900,1600,1,1990,38671
2.5,3,Southaven,Creekwood,4356,185000,1500,2,1992,38671
2,3,Southaven,Greenbrook,10454,249900,1585,1,1979,38671
2,3,Southaven,Greenbrook,,215000,1650,1,1979,38671
2,3,Southaven,Greenbrook,24829,227000,1561,1,1978,38671
2,4,Southaven,Greenbrook,9147,257500,2050,2,1980,38671
2,3,Southaven,Creekwood,1742,160000,1172,1,1991,38671
2,3,Southaven,Greenbrook,10454,205000,1350,1,1974,38671
2,4,Southaven,Greenbrook,14810,224000,1673,1,1986,38671
2,3,Southaven,Greenbrook,10454,265000,1703,1.5,1983,38671
2,3,Southaven,Greenbrook,4356,199900,1600,1,1980,38671
2,5,Southaven,Greenbrook,15681,165000,2178,2,1980,38671
2.5,4,Southaven,Greenbrook,,280000,2267,2,1977,38671
2,3,Southaven,Greenbrook,10454,204900,1417,1,1983,38671
2,3,Southaven,Greenbrook,10454,215000,1298,1,1986,38671
2,2,Southaven,Greenbriar Lakes Patio Homes,,150000,1198,1,1990,38671
2,3,Southaven,Greenbriar Lakes Patio Homes,5227,198500,1270,1,1990,38671
2,3,Southaven,Greenbriar Lakes,20037,250000,1676,1,1989,38671
2,4,Southaven,Greenbriar Lakes,10890,249900,1831,1,1988,38671
2,3,Southaven,Greenbrook,10454,224900,1400,1,1986,38671
2,4,Southaven,Cherry Hill,6098,295000,1820,1.5,2016,38671
2,4,Southaven,Cherry Hill,,285000,1629,1,2015,38671
2,3,Southaven,Cherry Hill,6534,275000,1558,1.5,2015,38671
2,3,Southaven,Cherry Hill,6098,273000,1565,1,2015,38671
2,3,Southaven,Cherry Hill,6534,285000,1625,1.5,2017,38671
2,4,Southaven,DeSoto,6098,283000,,2,2018,38671
2,3,Southaven,Cherry Hill,8276,274900,1583,1,2017,38671
2,3,Southaven,Cherry Hill,7840,285000,1656,1,2018,38671
2,3,Southaven,Cherry Hill,10890,269000,1640,1,2017,38671
2,3,Southaven,Cherry Hill,,260000,1530,1,2017,38671
2,3,Southaven,Cherry Hill,6534,264900,1551,1,2017,38671
2,3,Southaven,Cherry Hill,6534,249900,1702,1.5,2018,38671
2,3,Southaven,Cherry Hill,6098,274900,1561,2,2017,38671
2,3,Southaven,Cherry Hill,6534,280000,1894,1,2018,38671
2,3,Southaven,Cherry Hill,2618478720,275000,1609,1,2018,38671
2,3,Southaven,Central Park,6098,315000,1793,1,2022,38671
2,4,Southaven,Cherry Hill,6534,280000,1894,2,2019,38671
2,4,Southaven,Cherry Hill,7745,299900,1702,2,2019,38671
2,3,Southaven,Cherry Hill North,7405,249900,1551,1,2019,38671
2,3,Southaven,Cherry Hill,6534,283500,1600,1,2019,38671
2,3,Southaven,DeSoto,,213900,,1,2021,38671
2,3,Southaven,Cherry Hill,6098,264900,1558,1,2020,38671
2,3,Southaven,Cherry Hill,6969,279900,1551,1,2020,38671
2,3,Southaven,Cherry Hill,6098,289900,1561,1,2020,38671
2,3,Southaven,Central Park Neighborhood,8276,285000,1561,1,2020,38671
2,3,Southaven,Central Park Neighborhood,7405,289900,1551,1,2020,38671
2,3,Southaven,Central Park,7405,259900,1551,1,2020,38671
2,3,Southaven,Central Park Neighborhood,7840,274900,1600,1,2021,38671
2,3,Southaven,Central Park Neighborhood,6098,275000,1551,1,2020,38671
2.5,3,Southaven,Central Park Neighborhood,6098,279900,1659,2,2021,38671
2,3,Southaven,Central Park Neighborhood,6098,250000,1551,1,2020,38671
2,3,Southaven,Central Park,,289900,1547,1,2021,38671
2,3,Southaven,Central Park Neighborhood,6098,274900,1602,1,2021,38671
2,3,Southaven,Central Park Neighborhood,6098,274900,1695,1,2021,38671
2,3,Southaven,Cherry Hill,8712,269900,1561,1,2021,38671
2,3,Southaven,Cherry Hill,8276,285000,1580,1,2021,38671
2,4,Southaven,Central Park,6098,276400,1820,1,2023,38671
2,3,Southaven,Central Gardens,,259900,1421,1,2023,38671
2,3,Southaven,Central Gardens,,259900,1417,1,2023,38671
2,3,Southaven,Cherry Hill,,285000,1843,1.5,2018,38671
3,6,Southaven,Tall Oaks,206910,359000,6864,3,1974,38671
3,3,Southaven,Beaumont Estates,2178,249900,1625,2,1998,38671
2.5,5,Southaven,Southern Pines,4356,318500,2700,2,1988,38671
3,4,Southaven,Stonehedge,12632,399000,2436,2,1988,38671
3,5,Southaven,Cherry Tree Park,,280000,3416,2,2007,38672
2.5,5,Southaven,Lakes Of Nicholas,30491,369900,3640,2,2003,38672
3,4,Nesbit,Grove Meadows,33976,424900,3814,3,2004,38651
2,4,Southaven,Cherry Tree,9583,299900,2492,2,2007,38672
3,4,Southaven,Cherry Tree Park South,10890,395000,3304,,2007,38672
2,3,Southaven,DeSoto,,260000,,2,2005,38671
2.5,4,Southaven,Lakes Of Nicholas,,264900,2671,2,2004,38672
3.5,5,Nesbit,Grove Meadows,28314,498000,3638,2,2004,38651
3,4,Southaven,Lakes Of Nicholas,23086,319000,3027,2,2003,38672
2,3,Southaven,DeSoto,,292500,,2,2009,38672
3,5,Nesbit,Legends,31798,300000,2620,2,2001,38651
3,5,Nesbit,Stonebridge,30491,339000,3320,2,2007,38651
3,5,Nesbit,Newberry,,365000,3470,2,2012,38651
3,4,Southaven,Cherry Tree Park,,345000,3088,2,2006,38672
3,4,Southaven,Enclaves At Lake Of Nicholas,4356,249000,2600,2,2017,38672
3,4,Southaven,Lakes Of Nicholas,13503,319900,2750,2,2006,38672
2,3,Southaven,Lakes Of Nicholas,,225000,2157,1,2006,38672
3,5,Southaven,Lakes Of Nicholas,8276,284900,2454,2,2014,38672
2.5,4,Southaven,Enclaves At Lake Of Nicholas,10454,305000,2499,2,2015,38672
3,5,Southaven,Lakes Of Nicholas,,289900,2890,2,2006,38672
2.5,4,Southaven,Lakes Of Nicholas,23958,369900,3312,2,2006,38672
2,4,Southaven,Cherry Tree Park South,,205000,1665,1,2012,38672
3,3,Southaven,Cherry Tree Park,,279888,2271,2,2018,38672
2,4,Southaven,Cherry Tree Park,14374,309900,2298,,2008,38672
2,4,Southaven,Cherry Tree Park,,260000,2184,,2006,38672
3,4,Southaven,Cherry Tree Park,871,275000,2225,2,2006,38672
3,5,Southaven,Cherry Tree Park,,304900,2850,2,2007,38672
3,5,Nesbit,Newberry,21780,359900,3527,2,2012,38651
2,3,Nesbit,Shetland Gardens,21780,289900,1679,2,2012,38651
2,3,Southaven,Cherry Tree Park,,214900,1767,,2013,38672
3,4,Southaven,Lakes Of Nicholas,32670,369900,3332,2,2015,38672
3.5,4,Southaven,Lakes Of Nicholas,30056,349900,3146,2,2003,38672
2,3,Southaven,Cherry Tree Park,,295000,2253,2,2015,38672
2,3,Southaven,Cherry Tree Park,12632,300000,2453,2,2007,38672
